Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Minute_decenas,primer_tiempo,segundo_tiempo
11-Dec,LaLiga,8,10/15/11,H,FC Barcelona,Racing Santander,3:00,CF,11,1:00,Right-footed shot,Andres Iniesta,10,True,False
11-Dec,LaLiga,8,10/15/11,H,FC Barcelona,Racing Santander,3:00,CF,69,3:00,Right-footed shot,,60,False,True
11-Dec,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,5:00,CF,13,1:00,Penalty,,10,True,False
11-Dec,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,5:00,CF,21,2:00,Right-footed shot,Adriano,20,True,False
11-Dec,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,5:00,CF,30,3:00,Left-footed shot,Dani Alves,30,True,False
11-Dec,UEFA Champions League,Group Stage,11-01/11,A,FC Barcelona,FC Viktoria Plzen,0:04,CF,24,0:01,Penalty,,20,True,False
11-Dec,UEFA Champions League,Group Stage,11-01/11,A,FC Barcelona,FC Viktoria Plzen,0:04,CF,45,0:02,Left-footed shot,Adriano,40,True,False
11-Dec,UEFA Champions League,Group Stage,11-01/11,A,FC Barcelona,FC Viktoria Plzen,0:04,CF,90,0:04,Left-footed shot,Gerard Pique,90,False,True
11-Dec,LaLiga,12,11/06/11,A,FC Barcelona,Athletic Bilbao,2:02,CF,90,2:02,Left-footed shot,,90,False,True
11-Dec,LaLiga,13,11/19/11,H,FC Barcelona,Real Zaragoza,4:00,CF,43,2:00,Right-footed shot,Cesc Fabregas,40,True,False
11-Dec,UEFA Champions League,Group Stage,11/23/11,A,FC Barcelona,AC Milan,2:03,SS,31,1:02,Penalty,,30,True,False
11-Dec,LaLiga,17,11/29/11,H,FC Barcelona,Rayo Vallecano,4:00,CF,49,4:00,Left-footed shot,Dani Alves,40,False,True
11-Dec,LaLiga,15,12-03/11,H,FC Barcelona,Levante UD,5:00,CF,55,4:00,Left-footed shot,Dani Alves,50,False,True
11-Dec,FIFA Club World Cup,Final,12/18/11,A,FC Barcelona,Santos FC,0:04,RW,17,0:01,Left-footed shot,Xavi,10,True,False
11-Dec,FIFA Club World Cup,Final,12/18/11,A,FC Barcelona,Santos FC,0:04,RW,82,0:04,Left-footed shot,Dani Alves,80,False,True
11-Dec,Copa del Rey,last 16,01-04/12,H,FC Barcelona,CA Osasuna,4:00,CF,71,3:00,Header,Cesc Fabregas,70,False,True
11-Dec,Copa del Rey,last 16,01-04/12,H,FC Barcelona,CA Osasuna,4:00,CF,90,4:00,Left-footed shot,Xavi,90,False,True
11-Dec,LaLiga,19,1/15/12,H,FC Barcelona,Real Betis Balompie,4:02,CF,12,2:00,Right-footed shot,Alexis Sanchez,10,True,False
11-Dec,LaLiga,19,1/15/12,H,FC Barcelona,Real Betis Balompie,4:02,CF,86,4:02,Penalty,,80,False,True
11-Dec,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:04,CF,32,0:01,Header,Adriano,30,True,False
11-Dec,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:04,CF,51,0:03,Left-footed shot,Thiago,50,False,True
11-Dec,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:04,CF,77,0:04,Left-footed shot,Pedro,70,False,True
11-Dec,LaLiga,22,02-04/12,H,FC Barcelona,Real Sociedad,2:01,CF,72,2:00,Left-footed shot,Dani Alves,70,False,True
11-Dec,UEFA Champions League,last 16,2/14/12,A,FC Barcelona,Bayer 04 Leverkusen,1:03,CF,88,1:03,Left-footed shot,Dani Alves,80,False,True
11-Dec,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:01,CF,21,1:01,Left-footed shot,,20,True,False
11-Dec,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:01,CF,27,2:01,Tap-in,,20,True,False
11-Dec,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:01,CF,75,3:01,Left-footed shot,Cristian Tello,70,False,True
11-Dec,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:01,CF,84,4:01,Left-footed shot,Sergio Busquets,80,False,True
11-Dec,LaLiga,25,2/26/12,A,FC Barcelona,Atletico de Madrid,1:02,CF,79,1:02,Direct free kick,,70,False,True
11-Dec,UEFA Champions League,last 16,03/07/12,H,FC Barcelona,Bayer 04 Leverkusen,7:01,CF,25,1:00,Left-footed shot,Xavi,20,True,False
11-Dec,UEFA Champions League,last 16,03/07/12,H,FC Barcelona,Bayer 04 Leverkusen,7:01,CF,42,2:00,Left-footed shot,Andres Iniesta,40,True,False
11-Dec,UEFA Champions League,last 16,03/07/12,H,FC Barcelona,Bayer 04 Leverkusen,7:01,CF,50,3:00,Right-footed shot,Cesc Fabregas,50,False,True
11-Dec,UEFA Champions League,last 16,03/07/12,H,FC Barcelona,Bayer 04 Leverkusen,7:01,CF,58,5:00,Left-footed shot,,50,False,True
11-Dec,UEFA Champions League,last 16,03/07/12,H,FC Barcelona,Bayer 04 Leverkusen,7:01,CF,85,7:00,Left-footed shot,Seydou Keita,80,False,True
11-Dec,LaLiga,27,03/11/12,A,FC Barcelona,Racing Santander,0:02,CF,28,0:01,Left-footed shot,Cesc Fabregas,20,True,False
11-Dec,LaLiga,27,03/11/12,A,FC Barcelona,Racing Santander,0:02,CF,55,0:02,Penalty,,50,False,True
11-Dec,LaLiga,28,3/17/12,A,FC Barcelona,Sevilla FC,0:02,CF,25,0:02,Left-footed shot,Andres Iniesta,20,True,False
11-Dec,LaLiga,29,3/20/12,H,FC Barcelona,Granada CF,5:03,CF,16,2:00,Left-footed shot,Isaac Cuenca,10,True,False
11-Dec,LaLiga,29,3/20/12,H,FC Barcelona,Granada CF,5:03,CF,66,3:02,Left-footed shot,Dani Alves,60,False,True
11-Dec,LaLiga,29,3/20/12,H,FC Barcelona,Granada CF,5:03,CF,85,5:02,Left-footed shot,Dani Alves,80,False,True
11-Dec,LaLiga,30,3/24/12,A,FC Barcelona,RCD Mallorca,0:02,CF,25,0:01,Direct free kick,,20,True,False
11-Dec,LaLiga,31,3/31/12,H,FC Barcelona,Athletic Bilbao,2:00,CF,57,2:00,Penalty,,50,False,True
11-Dec,UEFA Champions League,Quarter-Finals,04-03/12,H,FC Barcelona,AC Milan,3:01,RW,11,1:00,Penalty,,10,True,False
11-Dec,UEFA Champions League,Quarter-Finals,04-03/12,H,FC Barcelona,AC Milan,3:01,RW,42,2:01,Penalty,,40,True,False
11-Dec,LaLiga,32,04/07/12,A,FC Barcelona,Real Zaragoza,1:04,CF,39,1:02,Left-footed shot,Alexis Sanchez,30,True,False
11-Dec,LaLiga,32,04/07/12,A,FC Barcelona,Real Zaragoza,1:04,CF,86,1:03,Penalty,,80,False,True
11-Dec,LaLiga,33,04/10/12,H,FC Barcelona,Getafe CF,4:00,CF,44,2:00,Left-footed shot,Andres Iniesta,40,True,False
11-Dec,LaLiga,34,4/14/12,A,FC Barcelona,Levante UD,1:02,CF,64,1:01,Left-footed shot,Alexis Sanchez,60,False,True
11-Dec,LaLiga,34,4/14/12,A,FC Barcelona,Levante UD,1:02,CF,73,1:02,Penalty,,70,False,True
11-Dec,LaLiga,36,4/29/12,A,FC Barcelona,Rayo Vallecano,0:07,CF,16,0:01,Left-footed shot,Pedro,10,True,False
11-Dec,LaLiga,36,4/29/12,A,FC Barcelona,Rayo Vallecano,0:07,CF,88,0:07,Left-footed shot,Pedro,80,False,True
11-Dec,LaLiga,20,05-02/12,H,FC Barcelona,Malaga CF,4:01,CF,34,2:01,Penalty,,30,True,False
11-Dec,LaLiga,20,05-02/12,H,FC Barcelona,Malaga CF,4:01,CF,60,3:01,Penalty,,60,False,True
11-Dec,LaLiga,20,05-02/12,H,FC Barcelona,Malaga CF,4:01,CF,63,4:01,Left-footed shot,Andres Iniesta,60,False,True
11-Dec,LaLiga,37,05/05/12,H,FC Barcelona,RCD Espanyol Barcelona,4:00,CF,11,1:00,Direct free kick,,10,True,False
11-Dec,LaLiga,37,05/05/12,H,FC Barcelona,RCD Espanyol Barcelona,4:00,CF,63,2:00,Penalty,,60,False,True
11-Dec,LaLiga,37,05/05/12,H,FC Barcelona,RCD Espanyol Barcelona,4:00,CF,73,3:00,Left-footed shot,Adriano,70,False,True
11-Dec,LaLiga,37,05/05/12,H,FC Barcelona,RCD Espanyol Barcelona,4:00,CF,78,4:00,Penalty,,70,False,True
11-Dec,Copa del Rey,Final,5/25/12,H,FC Barcelona,Athletic Bilbao,3:00,CF,20,2:00,Right-footed shot,Andres Iniesta,20,True,False
Dec-13,LaLiga,1,8/19/12,H,FC Barcelona,Real Sociedad,5:01,CF,10,2:01,Left-footed shot,Pedro,10,True,False
Dec-13,LaLiga,1,8/19/12,H,FC Barcelona,Real Sociedad,5:01,CF,15,3:01,Left-footed shot,Cristian Tello,10,True,False
Dec-13,Supercopa,final,8/23/12,H,FC Barcelona,Real Madrid,3:02,CF,60,2:01,Penalty,,60,False,True
Dec-13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,1:02,CF,74,1:01,Left-footed shot,Alexis Sanchez,70,False,True
Dec-13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,1:02,CF,79,1:02,Left-footed shot,Jordi Alba,70,False,True
Dec-13,Supercopa,final,8/29/12,A,FC Barcelona,Real Madrid,2:01,CF,45,2:01,Direct free kick,,40,True,False
Dec-13,LaLiga,4,9/15/12,A,FC Barcelona,Getafe CF,1:04,CF,74,0:02,Penalty,,70,False,True
Dec-13,LaLiga,4,9/15/12,A,FC Barcelona,Getafe CF,1:04,CF,78,0:03,Left-footed shot,Pedro,70,False,True
Dec-13,UEFA Champions League,Group Stage,9/19/12,H,FC Barcelona,Spartak Moscow,3:02,CF,71,2:02,Left-footed shot,Cristian Tello,70,False,True
Dec-13,UEFA Champions League,Group Stage,9/19/12,H,FC Barcelona,Spartak Moscow,3:02,CF,80,3:02,Header,Alexis Sanchez,80,False,True
Dec-13,LaLiga,7,10/07/12,H,FC Barcelona,Real Madrid,2:02,CF,31,1:01,Left-footed shot,,30,True,False
Dec-13,LaLiga,7,10/07/12,H,FC Barcelona,Real Madrid,2:02,CF,60,2:01,Direct free kick,,60,False,True
Dec-13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,4:05,CF,17,0:03,Left-footed shot,Cesc Fabregas,10,True,False
Dec-13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,4:05,CF,43,2:04,Left-footed shot,Cesc Fabregas,40,True,False
Dec-13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,4:05,CF,76,3:05,Left-footed shot,Xavi,70,False,True
Dec-13,LaLiga,9,10/27/12,A,FC Barcelona,Rayo Vallecano,0:05,CF,48,0:02,Left-footed shot,Marta Montoya,40,False,True
Dec-13,LaLiga,9,10/27/12,A,FC Barcelona,Rayo Vallecano,0:05,CF,89,0:05,Right-footed shot,Cesc Fabregas,80,False,True
Dec-13,UEFA Champions League,Group Stage,11/07/12,A,FC Barcelona,Celtic FC,2:01,CF,90,2:01,Tap-in,,90,False,True
Dec-13,LaLiga,11,11/11/12,A,FC Barcelona,RCD Mallorca,2:04,CF,43,0:02,Left-footed shot,Sergio Busquets,40,True,False
Dec-13,LaLiga,11,11/11/12,A,FC Barcelona,RCD Mallorca,2:04,CF,70,2:04,Left-footed shot,Alexis Sanchez,70,False,True
Dec-13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,3:01,CF,15,1:00,Left-footed shot,Jordi Alba,10,True,False
Dec-13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,3:01,CF,60,3:01,Left-footed shot,Marta Montoya,60,False,True
Dec-13,UEFA Champions League,Group Stage,11/20/12,A,FC Barcelona,Spartak Moscow,0:03,CF,27,0:02,Right-footed shot,,20,True,False
Dec-13,UEFA Champions League,Group Stage,11/20/12,A,FC Barcelona,Spartak Moscow,0:03,CF,39,0:03,Left-footed shot,Pedro,30,True,False
Dec-13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,0:04,CF,46,0:01,Left-footed shot,Andres Iniesta,40,False,True
Dec-13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,0:04,CF,51,0:02,Left-footed shot,Andres Iniesta,50,False,True
Dec-13,LaLiga,14,12-01/12,H,FC Barcelona,Athletic Bilbao,5:01,CF,24,2:00,Left-footed shot,Xavi,20,True,False
Dec-13,LaLiga,14,12-01/12,H,FC Barcelona,Athletic Bilbao,5:01,CF,69,5:01,Right-footed shot,Pedro,60,False,True
Dec-13,LaLiga,15,12/09/12,A,FC Barcelona,Real Betis Balompie,1:02,CF,16,0:01,Left-footed shot,Andres Iniesta,10,True,False
Dec-13,LaLiga,15,12/09/12,A,FC Barcelona,Real Betis Balompie,1:02,CF,25,0:02,Left-footed shot,Andres Iniesta,20,True,False
Dec-13,Copa del Rey,last 16,12/12/12,A,FC Barcelona,CÃ³rdoba CF,0:02,CF,10,0:01,Left-footed shot,David Villa,10,True,False
Dec-13,Copa del Rey,last 16,12/12/12,A,FC Barcelona,CÃ³rdoba CF,0:02,CF,73,0:02,Left-footed shot,Alexis Sanchez,70,False,True
Dec-13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,4:01,CF,58,3:01,Left-footed shot,Alexis Sanchez,50,False,True
Dec-13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,4:01,CF,88,4:01,Left-footed shot,,80,False,True
Dec-13,LaLiga,17,12/22/12,A,FC Barcelona,Real Valladolid CF,1:03,CF,59,0:02,Left-footed shot,Xavi,50,False,True
Dec-13,LaLiga,18,01/06-13,H,FC Barcelona,RCD Espanyol Barcelona,4:00,CF,28,4:00,Penalty,,20,True,False
Dec-13,LaLiga,19,1/13/13,A,FC Barcelona,Malaga CF,1:03,CF,26,0:01,Right-footed shot,,20,True,False
Dec-13,Copa del Rey,Quarter-Finals,1/16/13,H,FC Barcelona,Malaga CF,2:02,CF,29,1:01,Left-footed shot,,20,True,False
Dec-13,LaLiga,20,1/19/13,A,FC Barcelona,Real Sociedad,3:02,CF,6,0:01,Left-footed shot,Andres Iniesta,0,True,False
Dec-13,Copa del Rey,Quarter-Finals,1/24/13,A,FC Barcelona,Malaga CF,2:04,CF,79,2:04,Header,Dani Alves,70,False,True
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:01,CF,11,1:00,Right-footed shot,Xavi,10,True,False
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:01,CF,28,2:01,Penalty,,20,True,False
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:01,CF,56,4:01,Left-footed shot,David Villa,50,False,True
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:01,CF,58,5:01,Left-footed shot,Adriano,50,False,True
Dec-13,LaLiga,22,02-03-13,A,FC Barcelona,Valencia CF,1:01,CF,39,1:01,Penalty,,30,True,False
Dec-13,LaLiga,23,02/10-13,H,FC Barcelona,Getafe CF,6:01,CF,13,2:00,Left-footed shot,Thiago,10,True,False
Dec-13,LaLiga,24,2/16/13,A,FC Barcelona,Granada CF,1:02,CF,49,1:01,Left-footed shot,,40,False,True
Dec-13,LaLiga,24,2/16/13,A,FC Barcelona,Granada CF,1:02,CF,72,1:02,Direct free kick,,70,False,True
Dec-13,LaLiga,25,2/23/13,H,FC Barcelona,Sevilla FC,2:01,CF,60,2:01,Left-footed shot,Cristian Tello,60,False,True
Dec-13,LaLiga,26,03-02-13,A,FC Barcelona,Real Madrid,2:01,CF,18,1:01,Left-footed shot,Dani Alves,10,True,False
Dec-13,LaLiga,27,03/09-13,H,FC Barcelona,Deportivo de La Coruaa,2:00,CF,88,2:00,Left-footed shot,Alexis Sanchez,80,False,True
Dec-13,UEFA Champions League,last 16,03/12-13,H,FC Barcelona,AC Milan,4:00,CF,5,1:00,Left-footed shot,Xavi,0,True,False
Dec-13,UEFA Champions League,last 16,03/12-13,H,FC Barcelona,AC Milan,4:00,CF,40,2:00,Left-footed shot,Andres Iniesta,40,True,False
Dec-13,LaLiga,28,3/17/13,H,FC Barcelona,Rayo Vallecano,3:01,CF,40,2:00,Left-footed shot,David Villa,40,True,False
Dec-13,LaLiga,28,3/17/13,H,FC Barcelona,Rayo Vallecano,3:01,CF,57,3:00,Left-footed shot,David Villa,50,False,True
Dec-13,LaLiga,29,3/30/13,A,FC Barcelona,Celta de Vigo,2:02,CF ,73,1:02,Left-footed shot,Cristian Tello,70,False,True
Dec-13,UEFA Champions League,Quarter-Finals,04-02-13,A,FC Barcelona,Paris Saint-Germain,2:02,CF,38,0:01,Left-footed shot,Dani Alves,30,True,False
Dec-13,LaLiga,33,4/27/13,A,FC Barcelona,Athletic Bilbao,2:02,CF,67,1:01,Left-footed shot,Thiago,60,False,True
Dec-13,LaLiga,34,05/05-13,H,FC Barcelona,Real Betis Balompie,4:02,CF,60,3:02,Direct free kick,,60,False,True
Dec-13,LaLiga,34,05/05-13,H,FC Barcelona,Real Betis Balompie,4:02,CF,71,4:02,Left-footed shot,Alexis Sanchez,70,False,True
13/14,LaLiga,1,8/18/13,H,FC Barcelona,Levante UD,7:00,CF,13,2:00,Left-footed shot,Pedro,10,True,False
13/14,LaLiga,1,8/18/13,H,FC Barcelona,Levante UD,7:00,CF,42,5:00,Penalty,,40,True,False
13/14,LaLiga,3,09-01-13,A,FC Barcelona,Valencia CF,2:03,CF,11,0:01,Left-footed shot,Cesc Fabregas,10,True,False
13/14,LaLiga,3,09-01-13,A,FC Barcelona,Valencia CF,2:03,CF,39,0:02,Right-footed shot,Cesc Fabregas,30,True,False
13/14,LaLiga,3,09-01-13,A,FC Barcelona,Valencia CF,2:03,CF,41,0:03,Left-footed shot,Neymar,40,True,False
13/14,LaLiga,4,9/14/13,H,FC Barcelona,Sevilla FC,3:02,CF,75,2:00,Left-footed shot,Neymar,70,False,True
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,4:00,CF,22,1:00,Direct free kick,,20,True,False
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,4:00,CF,55,2:00,Left-footed shot,Sergio Busquets,50,False,True
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,4:00,CF,75,4:00,Left-footed shot,Xavi,70,False,True
13/14,LaLiga,6,9/24/13,H,FC Barcelona,Real Sociedad,4:01,CF,8,2:00,Header,Neymar,0,True,False
13/14,LaLiga,7,9/28/13,A,FC Barcelona,UD Almera,0:02,CF,21,0:01,Left-footed shot,Pedro,20,True,False
